TF_name	action	old_Identical_PWM	new_Identical_PWM	old_Homologous_PWM	old_Relatively_Homologous_PWM	old_ModCRE	old_AlphaFold	HOCOMOCO_TF_name	HOCOMOCO_family	HOCOMOCO_UniProt_ID
O15525	add_hocomoco_to_existing_identical_pwm	MA0659.1	MA0659.1;MAFG_HUMAN.H11MO.0.A					MAFG	Maf-related factors{1.1.3}	MAFG_HUMAN
O43186	add_hocomoco_to_existing_identical_pwm	M00274_2.00	M00274_2.00;CRX_HUMAN.H11MO.0.B					CRX	Paired-related HD factors{3.1.3}	CRX_HUMAN
O43296	add_hocomoco_to_existing_identical_pwm	M08860_2.00	M08860_2.00;ZN264_HUMAN.H11MO.0.C					ZNF264	More than 3 adjacent zinc finger factors{2.3.3}	ZN264_HUMAN
O43474	add_hocomoco_to_existing_identical_pwm	MA0039.3	MA0039.3;KLF4_HUMAN.H11MO.0.A					KLF4	Three-zinc finger Krüppel-related factors{2.3.1}	KLF4_HUMAN
O43524	add_hocomoco_to_existing_identical_pwm	MA0157.1	MA0157.1;FOXO3_HUMAN.H11MO.0.B					FOXO3	Forkhead box (FOX) factors{3.3.1}	FOXO3_HUMAN
O43623	add_hocomoco_to_existing_identical_pwm	MA0745.1	MA0745.1;SNAI2_HUMAN.H11MO.0.A					SNAI2	More than 3 adjacent zinc finger factors{2.3.3}	SNAI2_HUMAN
O43829	add_hocomoco_to_existing_identical_pwm	MA1650.1	MA1650.1;ZBT14_HUMAN.H11MO.0.C					ZBTB14	More than 3 adjacent zinc finger factors{2.3.3}	ZBT14_HUMAN
O43918	upgrade_to_identical_pwm		AIRE_HUMAN.H11MO.0.C		M01680_2.00 (50.7%)			AIRE	AIRE{5.3.1}	AIRE_HUMAN
O60393	upgrade_to_identical_pwm		NOBOX_HUMAN.H11MO.0.C		M02103_2.00 (52.9%);M02221_2.00 (50.9%);MA0125.1 (58.8%)	DIMER_sp_O60393_NOBOX_HUMAN:350:361_4qtr_B_1.meme;DIMER_sp_O60393_NOBOX_HUMAN:350:361_3hdd_A_1.meme;TFS_sp_O60393_NOBOX_HUMAN:350:363_3lnq_A_1.meme;DIMER_sp_O60393_NOBOX_HUMAN:350:361_1fjl_A_1.meme;DIMER_sp_O60393_NOBOX_HUMAN:350:361_1hdd_D_1.meme;DIMER_sp_O60393_NOBOX_HUMAN:347:363_5hod_D_1.meme;TFS_sp_O60393_NOBOX_HUMAN:350:368_1ahd_P_1.meme;TFS_sp_O60393_NOBOX_HUMAN:350:361_3a01_B_1.meme;TFS_sp_O60393_NOBOX_HUMAN:350:364_2lkx_A_1.meme;TFS_sp_O60393_NOBOX_HUMAN:350:366_2me6_A_1.meme		NOBOX	Paired-related HD factors{3.1.3}	NOBOX_HUMAN
O60479	add_hocomoco_to_existing_identical_pwm	M01503_2.00	M01503_2.00;DLX3_HUMAN.H11MO.0.C					DLX3	NK-related factors{3.1.2}	DLX3_HUMAN
O60481	add_hocomoco_to_existing_identical_pwm	MA0697.1	MA0697.1;ZIC3_HUMAN.H11MO.0.B					ZIC3	More than 3 adjacent zinc finger factors{2.3.3}	ZIC3_HUMAN
O60675	add_hocomoco_to_existing_identical_pwm	MA0496.1	MA0496.1;MAFK_HUMAN.H11MO.0.A					MAFK	Maf-related factors{1.1.3}	MAFK_HUMAN
O60765	add_hocomoco_to_existing_identical_pwm	M08914_2.00	M08914_2.00;Z354A_HUMAN.H11MO.0.C					ZNF354A	More than 3 adjacent zinc finger factors{2.3.3}	Z354A_HUMAN
O75030	add_hocomoco_to_existing_identical_pwm	MA0620.2	MA0620.2;MITF_HUMAN.H11MO.0.A					MITF	bHLH-ZIP factors{1.2.6}	MITF_HUMAN
O75444	add_hocomoco_to_existing_identical_pwm	MA0501.1	MA0501.1;MAF_HUMAN.H11MO.0.A					MAF	Maf-related factors{1.1.3}	MAF_HUMAN
O75461	add_hocomoco_to_existing_identical_pwm	MA0471.1	MA0471.1;E2F6_HUMAN.H11MO.0.A					E2F6	E2F-related factors{3.3.2}	E2F6_HUMAN
O75467	add_hocomoco_to_existing_identical_pwm	M07566_2.00	M07566_2.00;Z324A_HUMAN.H11MO.0.C					ZNF324	More than 3 adjacent zinc finger factors{2.3.3}	Z324A_HUMAN
O75469	add_hocomoco_to_existing_identical_pwm	MA1533.1	MA1533.1;NR1I2_HUMAN.H11MO.0.C					NR1I2	Thyroid hormone receptor-related factors (NR1){2.1.2}	NR1I2_HUMAN
O75593	add_hocomoco_to_existing_identical_pwm	MA0479.1	MA0479.1;FOXH1_HUMAN.H11MO.0.A					FOXH1	Forkhead box (FOX) factors{3.3.1}	FOXH1_HUMAN
O95600	add_hocomoco_to_existing_identical_pwm	M08867_2.00	M08867_2.00;KLF8_HUMAN.H11MO.0.C					KLF8	Three-zinc finger Krüppel-related factors{2.3.1}	KLF8_HUMAN
O95644	add_hocomoco_to_existing_identical_pwm	M03449_2.00	M03449_2.00;NFAC1_HUMAN.H11MO.0.B					NFATC1	NFAT-related factors{6.1.3}	NFAC1_HUMAN
O95718	add_hocomoco_to_existing_identical_pwm	MA0141.3	MA0141.3;ERR2_HUMAN.H11MO.0.A					ESRRB	Steroid hormone receptors (NR3){2.1.1}	ERR2_HUMAN
O95863	add_hocomoco_to_existing_identical_pwm	MA1558.1	MA1558.1;SNAI1_HUMAN.H11MO.0.C					SNAI1	More than 3 adjacent zinc finger factors{2.3.3}	SNAI1_HUMAN
P01100	add_hocomoco_to_existing_identical_pwm	MA0099.2	MA0099.2;FOS_HUMAN.H11MO.0.A					FOS	Fos-related factors{1.1.2}	FOS_HUMAN
P01106	add_hocomoco_to_existing_identical_pwm	MA0059.1	MA0059.1;MYC_HUMAN.H11MO.0.A					MYC	bHLH-ZIP factors{1.2.6}	MYC_HUMAN
P03372	add_hocomoco_to_existing_identical_pwm	MA0112.1	MA0112.1;ESR1_HUMAN.H11MO.0.A					ESR1	Steroid hormone receptors (NR3){2.1.1}	ESR1_HUMAN
P04150	add_hocomoco_to_existing_identical_pwm	MA0113.1	MA0113.1;GCR_HUMAN.H11MO.0.A					NR3C1	Steroid hormone receptors (NR3){2.1.1}	GCR_HUMAN
P04198	add_hocomoco_to_existing_identical_pwm	MA0104.4	MA0104.4;MYCN_HUMAN.H11MO.0.A					MYCN	bHLH-ZIP factors{1.2.6}	MYCN_HUMAN
P05412	add_hocomoco_to_existing_identical_pwm	MA0099.2	MA0099.2;JUN_HUMAN.H11MO.0.A					JUN	Jun-related factors{1.1.1}	JUN_HUMAN
P05549	add_hocomoco_to_existing_identical_pwm	MA0003.1	MA0003.1;AP2A_HUMAN.H11MO.0.A					TFAP2A	AP-2{1.3.1}	AP2A_HUMAN
P06401	upgrade_to_identical_pwm		PRGR_HUMAN.H11MO.0.A	M03923_2.00 (86.8%);M09609_2.00 (91.4%)	M02409_2.00 (54.4%);M03382_2.00 (55.4%);M05886_2.00 (55.7%);M06432_2.00 (52.9%);M07987_2.00 (56.0%);MA0007.1 (55.8%);MA0007.2 (55.5%);MA0007.3 (56.3%);MA0113.1 (54.8%);MA0727.1 (56.0%)			PGR	Steroid hormone receptors (NR3){2.1.1}	PRGR_HUMAN
P08047	add_hocomoco_to_existing_identical_pwm	MA0079.1	MA0079.1;SP1_HUMAN.H11MO.0.A					SP1	Three-zinc finger Krüppel-related factors{2.3.1}	SP1_HUMAN
P08651	add_hocomoco_to_existing_identical_pwm	MA0119.1	MA0119.1;NFIC_HUMAN.H11MO.0.A					NFIC	Nuclear factor 1{7.1.2}	NFIC_HUMAN
P09086	add_hocomoco_to_existing_identical_pwm	MA0507.1	MA0507.1;PO2F2_HUMAN.H11MO.0.A					POU2F2	POU domain factors{3.1.10}	PO2F2_HUMAN
P09629	add_hocomoco_to_existing_identical_pwm	MA1501.1	MA1501.1;HXB7_HUMAN.H11MO.0.C					HOXB7	HOX-related factors{3.1.1}	HXB7_HUMAN
P10071	add_hocomoco_to_existing_identical_pwm	MA1491.1	MA1491.1;GLI3_HUMAN.H11MO.0.B					GLI3	More than 3 adjacent zinc finger factors{2.3.3}	GLI3_HUMAN
P10073	add_hocomoco_to_existing_identical_pwm	M08935_2.00	M08935_2.00;ZSC22_HUMAN.H11MO.0.C					ZSCAN22	More than 3 adjacent zinc finger factors{2.3.3}	ZSC22_HUMAN
P10242	add_hocomoco_to_existing_identical_pwm	MA0100.3	MA0100.3;MYB_HUMAN.H11MO.0.A					MYB	Myb/SANT domain factors{3.5.1}	MYB_HUMAN
P10275	add_hocomoco_to_existing_identical_pwm	MA0007.2	MA0007.2;ANDR_HUMAN.H11MO.0.A					AR	Steroid hormone receptors (NR3){2.1.1}	ANDR_HUMAN
P10276	add_hocomoco_to_existing_identical_pwm	MA0159.1	MA0159.1;RARA_HUMAN.H11MO.0.A					RARA	Thyroid hormone receptor-related factors (NR1){2.1.2}	RARA_HUMAN
P10589	add_hocomoco_to_existing_identical_pwm	MA0017.1	MA0017.1;COT1_HUMAN.H11MO.0.C					NR2F1	RXR-related receptors (NR2){2.1.3}	COT1_HUMAN
P10827	add_hocomoco_to_existing_identical_pwm	M09275_2.00	M09275_2.00;THA_HUMAN.H11MO.0.C					THRA	Thyroid hormone receptor-related factors (NR1){2.1.2}	THA_HUMAN
P10828	add_hocomoco_to_existing_identical_pwm	MA1574.1	MA1574.1;THB_HUMAN.H11MO.0.C					THRB	Thyroid hormone receptor-related factors (NR1){2.1.2}	THB_HUMAN
P10914	add_hocomoco_to_existing_identical_pwm	MA0050.1	MA0050.1;IRF1_HUMAN.H11MO.0.A					IRF1	Interferon-regulatory factors{3.5.3}	IRF1_HUMAN
P11308	add_hocomoco_to_existing_identical_pwm	MA0474.2	MA0474.2;ERG_HUMAN.H11MO.0.A					ERG	Ets-related factors{3.5.2}	ERG_HUMAN
P11473	add_hocomoco_to_existing_identical_pwm	MA0074.1	MA0074.1;VDR_HUMAN.H11MO.0.A					VDR	Thyroid hormone receptor-related factors (NR1){2.1.2}	VDR_HUMAN
P11474	add_hocomoco_to_existing_identical_pwm	MA0592.1	MA0592.1;ERR1_HUMAN.H11MO.0.A					ESRRA	Steroid hormone receptors (NR3){2.1.1}	ERR1_HUMAN
P11831	add_hocomoco_to_existing_identical_pwm	MA0083.1	MA0083.1;SRF_HUMAN.H11MO.0.A					SRF	Responders to external signals (SRF/RLM1){5.1.2}	SRF_HUMAN
P12980	upgrade_to_identical_pwm		LYL1_HUMAN.H11MO.0.A		M00756_2.00 (64.0%);M01718_2.00 (50.8%);M05952_2.00 (50.8%);M05962_2.00 (52.6%);M05965_2.00 (55.9%);M06000_2.00 (57.4%);MA0048.1 (64.0%);MA0091.1 (58.0%);MA0140.1 (65.3%);MA0633.1 (50.8%);MA1123.1 (54.3%);MA1529.1 (64.0%);MA1638.1 (52.4%)	TFS_sp_P12980_LYL1_HUMAN:151:208_6od5_B_1.meme;TFS_sp_P12980_LYL1_HUMAN:151:205_7z5k_B_1.meme;DIMER_sp_P12980_LYL1_HUMAN:148:209_2ypa_A_1.meme;TFS_sp_P12980_LYL1_HUMAN:148:209_2ypa_A_1.meme;DIMER_sp_P12980_LYL1_HUMAN:150:207_2ql2_B_1.meme;DIMER_sp_P12980_LYL1_HUMAN:148:209_2ypb_A_1.meme;DIMER_sp_P12980_LYL1_HUMAN:151:208_1mdy_A_1.meme;TFS_sp_P12980_LYL1_HUMAN:150:207_2ql2_B_1.meme;DIMER_sp_P12980_LYL1_HUMAN:150:199_4h10_B_1.meme;TFS_sp_P12980_LYL1_HUMAN:151:208_1mdy_A_1.meme;TFS_sp_P12980_LYL1_HUMAN:148:209_2ypb_A_1.meme;DIMER_sp_P12980_LYL1_HUMAN:151:199_7z5i_B_1.meme;DIMER_sp_P12980_LYL1_HUMAN:151:205_7z5k_B_1.meme		LYL1	Tal-related factors{1.2.3}	LYL1_HUMAN
P13056	add_hocomoco_to_existing_identical_pwm	MA1535.1	MA1535.1;NR2C1_HUMAN.H11MO.0.C					NR2C1	RXR-related receptors (NR2){2.1.3}	NR2C1_HUMAN
P13631	add_hocomoco_to_existing_identical_pwm	MA1553.1	MA1553.1;RARG_HUMAN.H11MO.0.B					RARG	Thyroid hormone receptor-related factors (NR1){2.1.2}	RARG_HUMAN
P14316	add_hocomoco_to_existing_identical_pwm	MA0051.1	MA0051.1;IRF2_HUMAN.H11MO.0.A					IRF2	Interferon-regulatory factors{3.5.3}	IRF2_HUMAN
P14859	add_hocomoco_to_existing_identical_pwm	MA0785.1	MA0785.1;PO2F1_HUMAN.H11MO.0.C					POU2F1	POU domain factors{3.1.10}	PO2F1_HUMAN
P14921	add_hocomoco_to_existing_identical_pwm	MA0098.1	MA0098.1;ETS1_HUMAN.H11MO.0.A					ETS1	Ets-related factors{3.5.2}	ETS1_HUMAN
P15036	add_hocomoco_to_existing_identical_pwm	MA1484.1	MA1484.1;ETS2_HUMAN.H11MO.0.B					ETS2	Ets-related factors{3.5.2}	ETS2_HUMAN
P15172	add_hocomoco_to_existing_identical_pwm	MA0499.2	MA0499.2;MYOD1_HUMAN.H11MO.0.A					MYOD1	MyoD / ASC-related factors{1.2.2}	MYOD1_HUMAN
P15173	add_hocomoco_to_existing_identical_pwm	MA0500.2	MA0500.2;MYOG_HUMAN.H11MO.0.B					MYOG	MyoD / ASC-related factors{1.2.2}	MYOG_HUMAN
P15407	add_hocomoco_to_existing_identical_pwm	MA0477.1	MA0477.1;FOSL1_HUMAN.H11MO.0.A					FOSL1	Fos-related factors{1.1.2}	FOSL1_HUMAN
P15408	add_hocomoco_to_existing_identical_pwm	MA0478.1	MA0478.1;FOSL2_HUMAN.H11MO.0.A					FOSL2	Fos-related factors{1.1.2}	FOSL2_HUMAN
P15622	upgrade_to_identical_pwm		ZN250_HUMAN.H11MO.0.C	M08944_2.00 (99.1%)	M00142_2.00 (50.0%);M00217_2.00 (50.7%);M00782_2.00 (59.4%);M00939_2.00 (67.0%);M00943_2.00 (61.1%);M00944_2.00 (62.3%);M00945_2.00 (54.0%);M00948_2.00 (61.1%);M00950_2.00 (60.0%);M00952_2.00 (63.0%);M00953_2.00 (62.3%);M00955_2.00 (65.8%);M00958_2.00 (61.1%);M00959_2.00 (61.1%);M00960_2.00 (61.1%);M01044_2.00 (50.3%);M01442_2.00 (50.8%);M02924_2.00 (63.7%);M04387_2.00 (58.9%);M04536_2.00 (50.2%);M04590_2.00 (50.4%);M04598_2.00 (53.9%);M04611_2.00 (54.6%);M04613_2.00 (63.1%);M04621_2.00 (54.7%);M04650_2.00 (60.0%);M04653_2.00 (59.7%);M05844_2.00 (52.0%);M07562_2.00 (52.9%);M07581_2.00 (58.3%);M07587_2.00 (59.2%);M07588_2.00 (58.2%);M07610_2.00 (58.6%);M07613_2.00 (51.2%);M07648_2.00 (51.2%);M07656_2.00 (51.0%);M07657_2.00 (53.9%);M07660_2.00 (55.3%);M07683_2.00 (57.1%);M07747_2.00 (53.2%);M07753_2.00 (57.4%);M08254_2.00 (57.2%);M08263_2.00 (59.6%);M08267_2.00 (61.7%);M08283_2.00 (51.5%);M08292_2.00 (56.8%);M08295_2.00 (50.9%);M08300_2.00 (52.8%);M08314_2.00 (53.5%);M08325_2.00 (60.8%);M08329_2.00 (52.6%);M08334_2.00 (56.9%);M08335_2.00 (52.4%);M08355_2.00 (55.3%);M08375_2.00 (61.5%);M08395_2.00 (53.4%);M08859_2.00 (52.7%);M08901_2.00 (55.0%);M08985_2.00 (60.5%);M10391_2.00 (50.0%);MA0056.1 (51.4%);MA0493.1 (50.0%);MA0746.1 (51.2%);MA0747.1 (50.0%);MA1124.1 (63.1%);MA1154.1 (52.5%);MA1564.1 (50.0%);MA1601.1 (57.1%);MA1602.1 (54.6%);MA1656.1 (51.7%)			ZNF250	More than 3 adjacent zinc finger factors{2.3.3}	ZN250_HUMAN
P15884	add_hocomoco_to_existing_identical_pwm	MA0830.1	MA0830.1;ITF2_HUMAN.H11MO.0.C					TCF4	E2A-related factors{1.2.1}	ITF2_HUMAN
P15976	add_hocomoco_to_existing_identical_pwm	MA0035.4	MA0035.4;GATA1_HUMAN.H11MO.0.A					GATA1	GATA-type zinc fingers{2.2.1}	GATA1_HUMAN
P16220	add_hocomoco_to_existing_identical_pwm	MA0018.1	MA0018.1;CREB1_HUMAN.H11MO.0.A					CREB1	CREB-related factors{1.1.7}	CREB1_HUMAN
P17010	upgrade_to_identical_pwm		ZFX_HUMAN.H11MO.0.A	MA0146.1 (94.9%)	M04486_2.00 (50.0%);M08541_2.00 (50.0%)			ZFX	More than 3 adjacent zinc finger factors{2.3.3}	ZFX_HUMAN
P17019	upgrade_to_identical_pwm		ZN708_HUMAN.H11MO.0.C	M00955_2.00 (77.6%);M07687_2.00 (72.3%);M07714_2.00 (70.3%);M08381_2.00 (73.4%);M08921_2.00 (70.2%);M08934_2.00 (85.5%)	M00134_2.00 (52.5%);M00142_2.00 (51.7%);M00224_2.00 (50.0%);M00609_2.00 (51.6%);M00641_2.00 (50.0%);M00782_2.00 (55.8%);M00786_2.00 (50.2%);M00939_2.00 (63.0%);M00943_2.00 (64.2%);M00944_2.00 (64.2%);M00945_2.00 (59.7%);M00948_2.00 (61.1%);M00950_2.00 (64.7%);M00952_2.00 (65.4%);M00953_2.00 (65.4%);M00958_2.00 (61.9%);M00959_2.00 (62.3%);M00960_2.00 (64.7%);M01456_2.00 (50.9%);M01474_2.00 (53.0%);M02924_2.00 (58.9%);M03671_2.00 (51.7%);M03686_2.00 (53.4%);M04387_2.00 (54.9%);M04465_2.00 (54.2%);M04515_2.00 (54.8%);M04536_2.00 (50.8%);M04598_2.00 (54.7%);M04611_2.00 (55.1%);M04613_2.00 (52.0%);M04650_2.00 (56.9%);M04653_2.00 (61.2%);M05853_2.00 (50.2%);M07562_2.00 (52.3%);M07565_2.00 (69.1%);M07575_2.00 (65.1%);M07578_2.00 (54.4%);M07581_2.00 (56.7%);M07586_2.00 (65.3%);M07587_2.00 (52.3%);M07588_2.00 (52.1%);M07610_2.00 (53.4%);M07649_2.00 (51.6%);M07678_2.00 (50.3%);M07683_2.00 (55.7%);M07712_2.00 (52.1%);M07715_2.00 (66.9%);M07717_2.00 (50.9%);M07753_2.00 (57.1%);M07761_2.00 (66.4%);M07764_2.00 (51.2%);M07767_2.00 (58.2%);M07775_2.00 (69.0%);M08245_2.00 (55.4%);M08254_2.00 (51.8%);M08263_2.00 (54.7%);M08267_2.00 (58.1%);M08295_2.00 (66.6%);M08314_2.00 (52.2%);M08325_2.00 (61.0%);M08329_2.00 (56.1%);M08334_2.00 (54.3%);M08355_2.00 (54.6%);M08373_2.00 (53.4%);M08375_2.00 (60.5%);M08395_2.00 (54.5%);M08859_2.00 (50.3%);M08889_2.00 (52.7%);M08985_2.00 (67.8%);MA1124.1 (63.3%);MA1599.1 (63.6%);MA1601.1 (55.7%);MA1602.1 (53.5%);MA1656.1 (50.7%)			ZNF708	More than 3 adjacent zinc finger factors{2.3.3}	ZN708_HUMAN
P17022	add_hocomoco_to_existing_identical_pwm	M08901_2.00	M08901_2.00;ZNF18_HUMAN.H11MO.0.C					ZNF18	More than 3 adjacent zinc finger factors{2.3.3}	ZNF18_HUMAN
P17029	add_hocomoco_to_existing_identical_pwm	MA1585.1	MA1585.1;ZKSC1_HUMAN.H11MO.0.B					ZKSCAN1	More than 3 adjacent zinc finger factors{2.3.3}	ZKSC1_HUMAN
P17098	upgrade_to_identical_pwm		ZNF8_HUMAN.H11MO.0.C	M00149_2.00 (73.2%)	M00609_2.00 (55.9%);M00782_2.00 (51.2%);M00786_2.00 (59.7%);M00939_2.00 (62.3%);M00943_2.00 (62.3%);M00944_2.00 (65.4%);M00945_2.00 (54.0%);M00948_2.00 (61.9%);M00950_2.00 (63.0%);M00952_2.00 (63.0%);M00953_2.00 (64.2%);M00955_2.00 (63.0%);M00958_2.00 (60.0%);M00959_2.00 (61.1%);M00960_2.00 (64.7%);M01529_2.00 (51.7%);M02924_2.00 (59.6%);M04387_2.00 (53.9%);M04465_2.00 (51.0%);M04475_2.00 (60.1%);M04536_2.00 (57.6%);M04598_2.00 (51.3%);M04611_2.00 (58.4%);M04613_2.00 (57.2%);M04650_2.00 (56.7%);M06179_2.00 (50.0%);M07562_2.00 (57.3%);M07650_2.00 (50.4%);M07666_2.00 (50.6%);M07683_2.00 (53.1%);M08254_2.00 (50.5%);M08325_2.00 (58.6%);M08355_2.00 (51.6%);M08392_2.00 (50.0%);M08985_2.00 (59.7%);MA1124.1 (54.9%);MA1601.1 (53.1%);MA1602.1 (56.0%)			ZNF8	Factors with multiple dispersed zinc fingers{2.3.4}	ZNF8_HUMAN
P17275	add_hocomoco_to_existing_identical_pwm	MA0490.1	MA0490.1;JUNB_HUMAN.H11MO.0.A					JUNB	Jun-related factors{1.1.1}	JUNB_HUMAN
P17481	add_hocomoco_to_existing_identical_pwm	MA1502.1	MA1502.1;HXB8_HUMAN.H11MO.0.C					HOXB8	HOX-related factors{3.1.1}	HXB8_HUMAN
P17483	add_hocomoco_to_existing_identical_pwm	MA1499.1	MA1499.1;HXB4_HUMAN.H11MO.0.B					HOXB4	HOX-related factors{3.1.1}	HXB4_HUMAN
P17535	add_hocomoco_to_existing_identical_pwm	MA0491.1	MA0491.1;JUND_HUMAN.H11MO.0.A					JUND	Jun-related factors{1.1.1}	JUND_HUMAN
P17542	add_hocomoco_to_existing_identical_pwm	MA0091.1	MA0091.1;TAL1_HUMAN.H11MO.0.A					TAL1	Tal-related factors{1.2.3}	TAL1_HUMAN
P17676	add_hocomoco_to_existing_identical_pwm	MA0466.1	MA0466.1;CEBPB_HUMAN.H11MO.0.A					CEBPB	C/EBP-related{1.1.8}	CEBPB_HUMAN
P17947	add_hocomoco_to_existing_identical_pwm	MA0080.1	MA0080.1;SPI1_HUMAN.H11MO.0.A					SPI1	Ets-related factors{3.5.2}	SPI1_HUMAN
P18146	add_hocomoco_to_existing_identical_pwm	MA0162.2	MA0162.2;EGR1_HUMAN.H11MO.0.A					EGR1	Three-zinc finger Krüppel-related factors{2.3.1}	EGR1_HUMAN
P18846	add_hocomoco_to_existing_identical_pwm	M09485_2.00	M09485_2.00;ATF1_HUMAN.H11MO.0.B					ATF1	CREB-related factors{1.1.7}	ATF1_HUMAN
P18847	add_hocomoco_to_existing_identical_pwm	MA0605.2	MA0605.2;ATF3_HUMAN.H11MO.0.A					ATF3	Fos-related factors{1.1.2}	ATF3_HUMAN
P18848	add_hocomoco_to_existing_identical_pwm	MA0833.1	MA0833.1;ATF4_HUMAN.H11MO.0.A					ATF4	ATF-4-related factors{1.1.6}	ATF4_HUMAN
P18850	add_hocomoco_to_existing_identical_pwm	MA1466.1	MA1466.1;ATF6A_HUMAN.H11MO.0.B					ATF6	CREB-related factors{1.1.7}	ATF6A_HUMAN
P19419	add_hocomoco_to_existing_identical_pwm	MA0028.1	MA0028.1;ELK1_HUMAN.H11MO.0.B					ELK1	Ets-related factors{3.5.2}	ELK1_HUMAN
P19484	add_hocomoco_to_existing_identical_pwm	MA0692.1	MA0692.1;TFEB_HUMAN.H11MO.0.C					TFEB	bHLH-ZIP factors{1.2.6}	TFEB_HUMAN
P19532	add_hocomoco_to_existing_identical_pwm	MA0831.1	MA0831.1;TFE3_HUMAN.H11MO.0.B					TFE3	bHLH-ZIP factors{1.2.6}	TFE3_HUMAN
