Ensembl_gene_id	HGNC_symbol	DBD_Lambert2018	DBD_Codebook2026	is_TF	assessment_Lambert2018	conservative_reassessment	reassessment	motif_status	representative_motif_count	representative_motif_ids
ENSG00000172379	ARNT2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ARNT2
ENSG00000133794	ARNTL	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ARNTL_1; ARNTL_2
ENSG00000139352	ASCL1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ASCL1
ENSG00000183734	ASCL2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ASCL2
ENSG00000172238	ATOH1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ATOH1_1; ATOH1_2
ENSG00000179774	ATOH7	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ATOH7
ENSG00000180535	BHLHA15	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BHLHA15
ENSG00000180828	BHLHE22	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	BHLHE22_1; BHLHE22_2
ENSG00000125533	BHLHE23	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BHLHE23
ENSG00000134107	BHLHE40	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	BHLHE40_1; BHLHE40_2
ENSG00000123095	BHLHE41	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BHLHE41
ENSG00000250709	CCDC169-SOHLH2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	CCDC169-SOHLH2_1; CCDC169-SOHLH2_2
ENSG00000134852	CLOCK	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	CLOCK_1; CLOCK_2
ENSG00000116016	EPAS1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	EPAS1
ENSG00000146618	FERD3L	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	FERD3L_1; FERD3L_2
ENSG00000183733	FIGLA	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	FIGLA_1; FIGLA_2
ENSG00000113196	HAND1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HAND1
ENSG00000164107	HAND2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HAND2
ENSG00000114315	HES1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HES1
ENSG00000069812	HES2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HES2
ENSG00000197921	HES5	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HES5
ENSG00000144485	HES6	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HES6
ENSG00000179111	HES7	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	HES7_1; HES7_2
ENSG00000164683	HEY1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HEY1
ENSG00000135547	HEY2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HEY2
ENSG00000100644	HIF1A	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HIF1A
ENSG00000125952	MAX	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAX
ENSG00000166823	MESP1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MESP1
ENSG00000188095	MESP2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MESP2
ENSG00000187098	MITF	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MITF
ENSG00000108788	MLX	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MLX
ENSG00000009950	MLXIPL	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MLXIPL
ENSG00000070444	MNT	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MNT
ENSG00000178860	MSC	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MSC
ENSG00000151379	MSGN1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MSGN1
ENSG00000119950	MXI1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MXI1
ENSG00000136997	MYC	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MYC
ENSG00000134323	MYCN	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MYCN
ENSG00000111049	MYF5	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MYF5
ENSG00000111046	MYF6	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MYF6
ENSG00000129152	MYOD1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MYOD1
ENSG00000122180	MYOG	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MYOG
ENSG00000162992	NEUROD1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NEUROD1
ENSG00000171532	NEUROD2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	NEUROD2_1; NEUROD2_2
ENSG00000181965	NEUROG1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	NEUROG1_1; NEUROG1_2
ENSG00000178403	NEUROG2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NEUROG2
ENSG00000171786	NHLH1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NHLH1
ENSG00000177551	NHLH2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NHLH2
ENSG00000170485	NPAS2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NPAS2
ENSG00000184221	OLIG1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	OLIG1
ENSG00000205927	OLIG2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	OLIG2
ENSG00000177468	OLIG3	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	OLIG3
ENSG00000168267	PTF1A	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	PTF1A
ENSG00000120669	SOHLH2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	SOHLH2_1; SOHLH2_2
ENSG00000072310	SREBF1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	SREBF1_1; SREBF1_2
ENSG00000198911	SREBF2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	SREBF2
ENSG00000162367	TAL1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TAL1
ENSG00000140262	TCF12	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TCF12
ENSG00000118526	TCF21	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	TCF21_1; TCF21_2
ENSG00000071564	TCF3	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TCF3
ENSG00000196628	TCF4	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TCF4
ENSG00000101190	TCFL5	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TCFL5
ENSG00000090447	TFAP4	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TFAP4
ENSG00000068323	TFE3	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	TFE3_1; TFE3_2
ENSG00000112561	TFEB	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TFEB
ENSG00000105967	TFEC	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	TFEC_1; TFEC_2
ENSG00000122691	TWIST1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TWIST1
ENSG00000233608	TWIST2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TWIST2
ENSG00000158773	USF1	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	USF1_1; USF1_2
ENSG00000105698	USF2	bHLH	bHLH	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	USF2
ENSG00000267281	AC023509.3	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	AC023509.3
ENSG00000123268	ATF1	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ATF1
ENSG00000115966	ATF2	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ATF2_1; ATF2_2
ENSG00000162772	ATF3	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ATF3_1; ATF3_2
ENSG00000128272	ATF4	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ATF4
ENSG00000169136	ATF5	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ATF5_1; ATF5_2
ENSG00000118217	ATF6	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ATF6_1; ATF6_2
ENSG00000213676	ATF6B	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ATF6B
ENSG00000170653	ATF7	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	ATF7_1; ATF7_2
ENSG00000156273	BACH1	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BACH1
ENSG00000112182	BACH2	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	BACH2_1; BACH2_2
ENSG00000156127	BATF	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BATF
ENSG00000123685	BATF3	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BATF3
ENSG00000245848	CEBPA	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CEBPA
ENSG00000172216	CEBPB	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CEBPB
ENSG00000221869	CEBPD	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	CEBPD_1; CEBPD_2
ENSG00000092067	CEBPE	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CEBPE
ENSG00000153879	CEBPG	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CEBPG
ENSG00000118260	CREB1	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CREB1
ENSG00000107175	CREB3	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CREB3
ENSG00000157613	CREB3L1	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CREB3L1
ENSG00000182158	CREB3L2	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CREB3L2
ENSG00000143578	CREB3L4	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CREB3L4
ENSG00000146592	CREB5	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	CREB5_1; CREB5_2
ENSG00000095794	CREM	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CREM
ENSG00000105516	DBP	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	DBP
ENSG00000175197	DDIT3	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	DDIT3_1; DDIT3_2
ENSG00000170345	FOS	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	FOS
ENSG00000125740	FOSB	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	FOSB
ENSG00000175592	FOSL1	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	FOSL1
ENSG00000075426	FOSL2	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	FOSL2_1; FOSL2_2
ENSG00000108924	HLF	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	HLF_1; HLF_2
ENSG00000140044	JDP2	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	JDP2
ENSG00000177606	JUN	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	JUN
ENSG00000171223	JUNB	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	JUNB
ENSG00000130522	JUND	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	JUND
ENSG00000178573	MAF	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAF
ENSG00000182759	MAFA	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAFA
ENSG00000204103	MAFB	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAFB
ENSG00000185022	MAFF	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAFF
ENSG00000197063	MAFG	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAFG
ENSG00000198517	MAFK	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAFK
ENSG00000123405	NFE2	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	NFE2_1; NFE2_2
ENSG00000082641	NFE2L1	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NFE2L1
ENSG00000116044	NFE2L2	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NFE2L2
ENSG00000050344	NFE2L3	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NFE2L3
ENSG00000165030	NFIL3	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NFIL3
ENSG00000129535	NRL	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	NRL
ENSG00000167074	TEF	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	TEF
ENSG00000100219	XBP1	bZIP	bZIP	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	XBP1
ENSG00000164684	ZNF704	C2H2 ZF	C-Clamp	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	ZNF704
ENSG00000264668	AC138696.1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	AC138696.1
ENSG00000119866	BCL11A	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	BCL11A_1; BCL11A_2
ENSG00000127152	BCL11B	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BCL11B
ENSG00000113916	BCL6	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	BCL6_1; BCL6_2
ENSG00000161940	BCL6B	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	BCL6B
ENSG00000102974	CTCF	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CTCF
ENSG00000124092	CTCFL	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	CTCFL
ENSG00000011332	DPF1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	DPF1
ENSG00000167967	E4F1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	E4F1
ENSG00000120738	EGR1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	EGR1
ENSG00000122877	EGR2	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	EGR2
ENSG00000179388	EGR3	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	EGR3
ENSG00000135625	EGR4	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	EGR4
ENSG00000128610	FEZF1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	FEZF1
ENSG00000162676	GFI1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GFI1
ENSG00000165702	GFI1B	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GFI1B
ENSG00000111087	GLI1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GLI1
ENSG00000074047	GLI2	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GLI2
ENSG00000106571	GLI3	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GLI3
ENSG00000250571	GLI4	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GLI4
ENSG00000174332	GLIS1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	GLIS1_1; GLIS1_2
ENSG00000126603	GLIS2	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	GLIS2_1; GLIS2_2
ENSG00000107249	GLIS3	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GLIS3
ENSG00000122034	GTF3A	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GTF3A
ENSG00000125812	GZF1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	GZF1
ENSG00000177374	HIC1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HIC1
ENSG00000169635	HIC2	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HIC2
ENSG00000172273	HINFP	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HINFP
ENSG00000095951	HIVEP1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HIVEP1
ENSG00000010818	HIVEP2	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	HIVEP2_1; HIVEP2_2
ENSG00000181666	HKR1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	HKR1
ENSG00000185811	IKZF1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	IKZF1
ENSG00000030419	IKZF2	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	IKZF2_1; IKZF2_2
ENSG00000161405	IKZF3	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	IKZF3
ENSG00000173404	INSM1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	INSM1_1; INSM1_2
ENSG00000105610	KLF1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF1
ENSG00000155090	KLF10	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF10
ENSG00000172059	KLF11	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF11
ENSG00000118922	KLF12	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF12
ENSG00000169926	KLF13	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF13
ENSG00000266265	KLF14	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	KLF14_1; KLF14_2
ENSG00000163884	KLF15	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	KLF15_1; KLF15_2
ENSG00000129911	KLF16	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	KLF16_1; KLF16_2
ENSG00000171872	KLF17	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF17
ENSG00000127528	KLF2	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF2
ENSG00000109787	KLF3	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF3
ENSG00000136826	KLF4	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF4
ENSG00000102554	KLF5	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF5
ENSG00000067082	KLF6	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF6
ENSG00000118263	KLF7	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF7
ENSG00000102349	KLF8	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF8
ENSG00000119138	KLF9	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	KLF9
ENSG00000103495	MAZ	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MAZ
ENSG00000085276	MECOM	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MECOM
ENSG00000188786	MTF1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	2	MTF1_1; MTF1_2
ENSG00000085274	MYNN	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MYNN
ENSG00000099326	MZF1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	MZF1
ENSG00000143867	OSR1	C2H2 ZF	C2H2 ZF	Yes	Known motif	Known motif	Known motif	Motif (measured) - Lambert 2018	1	OSR1
