TF_name	PWM_source	reference_accession	PWM	match_basis	HGNC_symbol	Ensembl_gene_id	DBD_family	DBD_count	sequence_relation	canonical_accession
A6NK53	CODEBOOK	ENSG00000159915	PWM003568	exact_construct	ZNF233	ENSG00000159915	C2H2 ZF	9	assayed_construct_in_query	yes
A6NN14	CODEBOOK	ENSG00000196350	PWM005614	exact_construct	ZNF729	ENSG00000196350	C2H2 ZF	37	assayed_construct_in_query	yes
A6NNF4	CODEBOOK	ENSG00000213967	PWM005544	stable_gene_id	ZNF726	ENSG00000213967	C2H2 ZF	18	stable_gene_mapping	yes
A7E228	CODEBOOK	ENSG00000198597	PWM155337	exact_construct	ZNF536	ENSG00000198597	C2H2 ZF	8	assayed_construct_in_query	no
A8MQ14	CODEBOOK	ENSG00000267041	PWM006089	exact_construct	ZNF850	ENSG00000267041	C2H2 ZF	29	assayed_construct_in_query	yes
A8MTY0	CODEBOOK	ENSG00000196081	PWM005542	exact_construct	ZNF724	ENSG00000196081	C2H2 ZF	16	assayed_construct_in_query	yes
A8MWA4	CODEBOOK	ENSG00000214534	PWM005422	exact_construct	ZNF705E	ENSG00000214534	C2H2 ZF	3	assayed_construct_in_query	yes
A8MZ59	CODEBOOK	ENSG00000213921	PWM000962	exact_construct	LEUTX	ENSG00000213921	Homeodomain	1	assayed_construct_in_query	yes
B3KQ07	CODEBOOK	ENSG00000176472	PWM004745	exact_construct	ZNF575	ENSG00000176472	C2H2 ZF	6	assayed_construct_in_query	no
B4DXR9	CODEBOOK	ENSG00000186777	PWM005632	exact_construct	ZNF732	ENSG00000186777	C2H2 ZF	15	assayed_construct_in_query	yes
B5MCP8	CODEBOOK	ENSG00000220201	PWM003064	exact_construct	ZGLP1	ENSG00000220201	GATA	1	query_in_assayed_construct	no
B7Z6K7	CODEBOOK	ENSG00000204514	PWM005903	exact_construct	ZNF814	ENSG00000204514	C2H2 ZF	22	assayed_construct_in_query	yes
B9EGE7	CODEBOOK	ENSG00000168813	PWM150320	exact_construct	ZNF507	ENSG00000168813	C2H2 ZF	5	assayed_construct_in_query	no
C9IZS8	CODEBOOK	ENSG00000146757	PWM006209	exact_construct	ZNF92	ENSG00000146757	C2H2 ZF	14	query_in_assayed_construct	no
C9J8Y5	CODEBOOK	ENSG00000135164	PWM000380	exact_construct	DMTF1	ENSG00000135164	Myb/SANT	2	query_in_assayed_construct	no
C9JCJ0	CODEBOOK	ENSG00000167394	PWM005084	exact_construct	ZNF668	ENSG00000167394	C2H2 ZF	16	query_in_assayed_construct	no
C9JED5	CODEBOOK	ENSG00000135164	PWM000380	exact_construct	DMTF1	ENSG00000135164	Myb/SANT	2	query_in_assayed_construct	no
C9JFR2	CODEBOOK	ENSG00000135164	PWM000380	exact_construct	DMTF1	ENSG00000135164	Myb/SANT	2	query_in_assayed_construct	no
C9JGT5	CODEBOOK	ENSG00000135164	PWM000380	exact_construct	DMTF1	ENSG00000135164	Myb/SANT	2	query_in_assayed_construct	no
C9JLR9	CODEBOOK	ENSG00000188070	PWM003007	exact_construct	ZFTA	ENSG00000188070	BED ZF	3	assayed_construct_in_query	yes
C9JN71	CODEBOOK	ENSG00000257446	PWM006160	exact_construct	ZNF878	ENSG00000257446	C2H2 ZF	14	assayed_construct_in_query	yes
C9JTJ1	CODEBOOK	ENSG00000128000	PWM005796	exact_construct	ZNF780B	ENSG00000128000	C2H2 ZF	23	query_in_assayed_construct	no
C9JVQ7	CODEBOOK	ENSG00000135164	PWM000380	exact_construct	DMTF1	ENSG00000135164	Myb/SANT	2	query_in_assayed_construct	no
C9JZZ6	CODEBOOK	ENSG00000135164	PWM000380	exact_construct	DMTF1	ENSG00000135164	Myb/SANT	2	query_in_assayed_construct	no
C9K0L9	CODEBOOK	ENSG00000135164	PWM000380	exact_construct	DMTF1	ENSG00000135164	Myb/SANT	2	query_in_assayed_construct	no
D6RAT8	CODEBOOK	ENSG00000172262	PWM003213	exact_construct	ZNF131	ENSG00000172262	C2H2 ZF	4	query_in_assayed_construct	no
D6RBK1	CODEBOOK	ENSG00000172262	PWM003213	exact_construct	ZNF131	ENSG00000172262	C2H2 ZF	4	query_in_assayed_construct	no
D6RDG5	CODEBOOK	ENSG00000114853	PWM002804	exact_construct	ZBTB47	ENSG00000114853	C2H2 ZF	8	query_in_assayed_construct	no
D6RFI6	CODEBOOK	ENSG00000172262	PWM003213	exact_construct	ZNF131	ENSG00000172262	C2H2 ZF	4	query_in_assayed_construct	no
E5RG39	CODEBOOK	ENSG00000185730	PWM005287	exact_construct	ZNF696	ENSG00000185730	C2H2 ZF	9	query_in_assayed_construct	no
E5RH37	CODEBOOK	ENSG00000066827	PWM112021	exact_construct	ZFAT	ENSG00000066827	C2H2 ZF	14	assayed_construct_in_query	no
E7ETH6	CODEBOOK	ENSG00000269343	PWM160251	stable_gene_id	ZNF587B	ENSG00000269343	C2H2 ZF	5	stable_gene_mapping	yes
F5H2K2	CODEBOOK	ENSG00000101493	PWM151871	exact_construct	ZNF516	ENSG00000101493	C2H2 ZF	7	query_in_assayed_construct	no
F8W6Y9	CODEBOOK	ENSG00000176371	PWM006266	exact_construct	ZSCAN2	ENSG00000176371	C2H2 ZF	14	query_in_assayed_construct	no
F8WAI8	CODEBOOK	ENSG00000184677	PWM002736	exact_construct	ZBTB40	ENSG00000184677	C2H2 ZF	12	assayed_construct_in_query	no
H0YKM5	CODEBOOK	ENSG00000140382	PWM036437	exact_construct	HMG20A	ENSG00000140382	HMG/Sox	1	query_in_assayed_construct	no
H0YMS9	CODEBOOK	ENSG00000140382	PWM036437	exact_construct	HMG20A	ENSG00000140382	HMG/Sox	1	query_in_assayed_construct	no
H0YNS8	CODEBOOK	ENSG00000140382	PWM036437	exact_construct	HMG20A	ENSG00000140382	HMG/Sox	1	query_in_assayed_construct	no
H9ZYJ3	CODEBOOK	ENSG00000167625	PWM153677	exact_construct	ZNF526	ENSG00000167625	C2H2 ZF	10	assayed_construct_in_query	no
J3KNV1	CODEBOOK	ENSG00000188994	PWM132418	exact_construct	ZNF292	ENSG00000188994	C2H2 ZF	4	assayed_construct_in_query	no
K7EKT4	CODEBOOK	ENSG00000198597	PWM155337	exact_construct	ZNF536	ENSG00000198597	C2H2 ZF	8	assayed_construct_in_query	no
K7ELU1	CODEBOOK	ENSG00000196437	PWM004692	exact_construct	ZNF569	ENSG00000196437	C2H2 ZF	18	assayed_construct_in_query	no
K7EQN6	CODEBOOK	ENSG00000198597	PWM155337	exact_construct	ZNF536	ENSG00000198597	C2H2 ZF	8	assayed_construct_in_query	no
K7EQV7	CODEBOOK	ENSG00000196757	PWM005382	exact_construct	ZNF700	ENSG00000196757	C2H2 ZF	19	query_in_assayed_construct	no
M0QY62	CODEBOOK	ENSG00000269343	PWM160251	exact_construct	ZNF587B	ENSG00000269343	C2H2 ZF	5	assayed_construct_in_query	no
M0QZI7	CODEBOOK	ENSG00000170949	PWM003374	exact_construct	ZNF160	ENSG00000170949	C2H2 ZF	20	assayed_construct_in_query	no
M0QZV4	CODEBOOK	ENSG00000258405	PWM199295	exact_construct	ZNF578	ENSG00000258405	C2H2 ZF	11	query_in_assayed_construct	no
M0R087	CODEBOOK	ENSG00000176472	PWM004745	exact_construct	ZNF575	ENSG00000176472	C2H2 ZF	6	query_in_assayed_construct	no
M0R2M4	CODEBOOK	ENSG00000204519	PWM004631	exact_construct	ZNF551	ENSG00000204519	C2H2 ZF	15	query_in_assayed_construct	no
O15015	CODEBOOK	ENSG00000167395	PWM004963	exact_construct	ZNF646	ENSG00000167395	C2H2 ZF	29	assayed_construct_in_query	yes
O15062	CODEBOOK	ENSG00000168795	PWM002822	exact_construct	ZBTB5	ENSG00000168795	C2H2 ZF	1	assayed_construct_in_query	yes
O15090	CODEBOOK	ENSG00000198597	PWM155337	exact_construct	ZNF536	ENSG00000198597	C2H2 ZF	8	assayed_construct_in_query	yes
O43151	CODEBOOK	ENSG00000187605	PWM002198	exact_construct	TET3	ENSG00000187605	CxxC	1	assayed_construct_in_query	yes
O43167	CODEBOOK	ENSG00000112365	PWM002721	exact_construct	ZBTB24	ENSG00000112365	C2H2 ZF; AT hook	8	assayed_construct_in_query	yes
O43309	CODEBOOK	ENSG00000158691	PWM006222	stable_gene_id	ZSCAN12	ENSG00000158691	C2H2 ZF	11	stable_gene_mapping	yes
O43313	CODEBOOK	ENSG00000166454	PWM000021	exact_construct	ATMIN	ENSG00000166454	C2H2 ZF	4	assayed_construct_in_query	yes
O43345	CODEBOOK	ENSG00000160321	PWM124632	exact_construct	ZNF208	ENSG00000160321	C2H2 ZF	36	assayed_construct_in_query	yes
O60281	CODEBOOK	ENSG00000188994	PWM132418	exact_construct	ZNF292	ENSG00000188994	C2H2 ZF	4	assayed_construct_in_query	yes
O60304	CODEBOOK	ENSG00000103199	PWM004464	exact_construct	ZNF500	ENSG00000103199	C2H2 ZF	5	assayed_construct_in_query	yes
O75123	CODEBOOK	ENSG00000183309	PWM004913	exact_construct	ZNF623	ENSG00000183309	C2H2 ZF	13	assayed_construct_in_query	yes
O75132	CODEBOOK	ENSG00000100426	PWM102045	exact_construct	ZBED4	ENSG00000100426	BED ZF	4	assayed_construct_in_query	yes
O75564	CODEBOOK	ENSG00000234616	PWM038292	stable_gene_id	JRK	ENSG00000234616	CENPB	1	stable_gene_mapping	yes
O94983	CODEBOOK	ENSG00000108509	PWM000142	stable_gene_id	CAMTA2	ENSG00000108509	CG	1	stable_gene_mapping	yes
O95983	CODEBOOK	ENSG00000071655	PWM001059	exact_construct	MBD3	ENSG00000071655	MBD	2	assayed_construct_in_query	yes
P0C6A0	CODEBOOK	ENSG00000220201	PWM003064	stable_gene_id	ZGLP1	ENSG00000220201	GATA	1	stable_gene_mapping	yes
P0CF97	CODEBOOK	ENSG00000237765	PWM000467	exact_construct	FAM200B	ENSG00000237765	BED ZF	1	assayed_construct_in_query	yes
P0CG23	CODEBOOK	ENSG00000236609	PWM006118	exact_construct	ZNF853	ENSG00000236609	C2H2 ZF	5	assayed_construct_in_query	yes
P0CG31	CODEBOOK	ENSG00000249459	PWM003766	exact_construct	ZNF286B	ENSG00000249459	C2H2 ZF	9	assayed_construct_in_query	yes
P0CJ78	CODEBOOK	ENSG00000261221	PWM006145	exact_construct	ZNF865	ENSG00000261221	C2H2 ZF	20	assayed_construct_in_query	yes
P0CJ79	CODEBOOK	ENSG00000213793	PWM006179	exact_construct	ZNF888	ENSG00000213793	C2H2 ZF	17	assayed_construct_in_query	yes
P0DKX0	CODEBOOK	ENSG00000269067	PWM005588	exact_construct	ZNF728	ENSG00000269067	C2H2 ZF	14	assayed_construct_in_query	yes
P17017	CODEBOOK	ENSG00000105708	PWM003249	exact_construct	ZNF14	ENSG00000105708	C2H2 ZF	17	assayed_construct_in_query	yes
P17024	CODEBOOK	ENSG00000132010	PWM003431	exact_construct	ZNF20	ENSG00000132010	C2H2 ZF	12	assayed_construct_in_query	yes
P17038	CODEBOOK	ENSG00000198521	PWM004214	exact_construct	ZNF43	ENSG00000198521	C2H2 ZF	21	query_in_assayed_construct	yes
P23497	CODEBOOK	ENSG00000067066	PWM002037	stable_gene_id	SP100	ENSG00000067066	SAND	3	stable_gene_mapping	yes
P51522	CODEBOOK	ENSG00000167766	PWM005939	exact_construct	ZNF83	ENSG00000167766	C2H2 ZF	14	assayed_construct_in_query	yes
P52739	CODEBOOK	ENSG00000172262	PWM003213	exact_construct	ZNF131	ENSG00000172262	C2H2 ZF	4	assayed_construct_in_query	yes
P52746	CODEBOOK	ENSG00000115568	PWM003289	exact_construct	ZNF142	ENSG00000115568	C2H2 ZF	25	assayed_construct_in_query	yes
P54274	CODEBOOK	ENSG00000147601	PWM002178	exact_construct	TERF1	ENSG00000147601	Myb/SANT	1	assayed_construct_in_query	yes
P98168	CODEBOOK	ENSG00000198205	PWM006330	exact_construct	ZXDA	ENSG00000198205	C2H2 ZF	9	assayed_construct_in_query	yes
P98169	CODEBOOK	ENSG00000198455	PWM006360	exact_construct	ZXDB	ENSG00000198455	C2H2 ZF	9	assayed_construct_in_query	yes
Q01538	CODEBOOK	ENSG00000196132	PWM054965	stable_gene_id	MYT1	ENSG00000196132	C2H2 ZF	7	stable_gene_mapping	yes
Q03936	CODEBOOK	ENSG00000146757	PWM006209	exact_construct	ZNF92	ENSG00000146757	C2H2 ZF	14	assayed_construct_in_query	yes
Q13129	CODEBOOK	ENSG00000117000	PWM001787	exact_construct	RLF	ENSG00000117000	C2H2 ZF	8	assayed_construct_in_query	yes
Q13342	CODEBOOK	ENSG00000079263	PWM002077	exact_construct	SP140	ENSG00000079263	SAND	1	assayed_construct_in_query	yes
Q14588	CODEBOOK	ENSG00000263002	PWM003628	exact_construct	ZNF234	ENSG00000263002	C2H2 ZF	18	assayed_construct_in_query	yes
Q15361	CODEBOOK	ENSG00000125482	PWM001324	exact_construct	TTF1	ENSG00000125482	Myb/SANT	3	assayed_construct_in_query	yes
Q17R98	CODEBOOK	ENSG00000151612	PWM005922	exact_construct	ZNF827	ENSG00000151612	C2H2 ZF	3	assayed_construct_in_query	yes
Q2QGD7	CODEBOOK	ENSG00000070476	PWM006370	exact_construct	ZXDC	ENSG00000070476	C2H2 ZF	9	assayed_construct_in_query	yes
Q2TB10	CODEBOOK	ENSG00000048405	PWM005851	exact_construct	ZNF800	ENSG00000048405	C2H2 ZF	4	assayed_construct_in_query	yes
Q32M78	CODEBOOK	ENSG00000196110	PWM005304	exact_construct	ZNF699	ENSG00000196110	C2H2 ZF	16	assayed_construct_in_query	yes
Q3ZCX4	CODEBOOK	ENSG00000198453	PWM004684	exact_construct	ZNF568	ENSG00000198453	C2H2 ZF	15	assayed_construct_in_query	yes
Q499Z4	CODEBOOK	ENSG00000171161	PWM005120	exact_construct	ZNF672	ENSG00000171161	C2H2 ZF	14	assayed_construct_in_query	yes
Q49A26	CODEBOOK	ENSG00000140632	PWM034466	exact_construct	GLYR1	ENSG00000140632	AT hook	1	assayed_construct_in_query	yes
Q49AG3	CODEBOOK	ENSG00000236287	PWM002649	exact_construct	ZBED5	ENSG00000236287	BED ZF	1	assayed_construct_in_query	yes
Q4VC44	CODEBOOK	ENSG00000059122	PWM000599	exact_construct	FLYWCH1	ENSG00000059122	FLYWCH	5	assayed_construct_in_query	yes
Q53EQ6	CODEBOOK	ENSG00000179886	PWM002314	exact_construct	TIGD5	ENSG00000179886	CENPB	1	assayed_construct_in_query	yes
Q5JPB2	CODEBOOK	ENSG00000124203	PWM005967	exact_construct	ZNF831	ENSG00000124203	C2H2 ZF	2	assayed_construct_in_query	yes
Q5MCW4	CODEBOOK	ENSG00000196437	PWM004692	exact_construct	ZNF569	ENSG00000196437	C2H2 ZF	18	assayed_construct_in_query	yes
Q5SVQ8	CODEBOOK	ENSG00000177888	PWM002761	exact_construct	ZBTB41	ENSG00000177888	C2H2 ZF	12	assayed_construct_in_query	yes
Q5SXM1	CODEBOOK	ENSG00000181450	PWM005185	exact_construct	ZNF678	ENSG00000181450	C2H2 ZF	14	assayed_construct_in_query	yes
Q5T0B9	CODEBOOK	ENSG00000160094	PWM004025	exact_construct	ZNF362	ENSG00000160094	C2H2 ZF	6	assayed_construct_in_query	yes
Q5T619	CODEBOOK	ENSG00000179930	PWM004990	exact_construct	ZNF648	ENSG00000179930	C2H2 ZF	10	assayed_construct_in_query	yes
Q5T7W0	CODEBOOK	ENSG00000157657	PWM004873	exact_construct	ZNF618	ENSG00000157657	C2H2 ZF	4	assayed_construct_in_query	yes
Q5T942	CODEBOOK	ENSG00000168795	PWM002822	exact_construct	ZBTB5	ENSG00000168795	C2H2 ZF	1	assayed_construct_in_query	no
Q5VVJ2	CODEBOOK	ENSG00000162601	PWM001347	exact_construct	MYSM1	ENSG00000162601	Myb/SANT	1	assayed_construct_in_query	yes
Q5VZF2	CODEBOOK	ENSG00000139793	PWM045318	exact_construct	MBNL2	ENSG00000139793	CCCH ZF	4	assayed_construct_in_query	yes
Q68CJ9	CODEBOOK	ENSG00000060566	PWM000284	exact_construct	CREB3L3	ENSG00000060566	bZIP	2	assayed_construct_in_query	yes
Q68DE3	CODEBOOK	ENSG00000176542	PWM002464	exact_construct	USF3	ENSG00000176542	bHLH	1	assayed_construct_in_query	yes
Q68DY9	CODEBOOK	ENSG00000197128	PWM005732	exact_construct	ZNF772	ENSG00000197128	C2H2 ZF	10	assayed_construct_in_query	yes
Q68EA5	CODEBOOK	ENSG00000171970	PWM004724	stable_gene_id	ZNF57	ENSG00000171970	C2H2 ZF	13	stable_gene_mapping	yes
Q6B0B8	CODEBOOK	ENSG00000173825	PWM002267	exact_construct	TIGD3	ENSG00000173825	CENPB	1	assayed_construct_in_query	yes
Q6ECI4	CODEBOOK	ENSG00000197016	PWM004290	exact_construct	ZNF470	ENSG00000197016	C2H2 ZF	17	assayed_construct_in_query	yes
Q6NSZ9	CODEBOOK	ENSG00000197037	PWM006286	exact_construct	ZSCAN25	ENSG00000197037	C2H2 ZF	7	assayed_construct_in_query	yes
Q6NT04	CODEBOOK	ENSG00000140993	PWM002338	exact_construct	TIGD7	ENSG00000140993	CENPB	1	assayed_construct_in_query	yes
Q6NUI8	CODEBOOK	ENSG00000081386	PWM004515	exact_construct	ZNF510	ENSG00000081386	C2H2 ZF	9	query_in_assayed_construct	no
Q6NUN9	CODEBOOK	ENSG00000181220	PWM005658	stable_gene_id	ZNF746	ENSG00000181220	C2H2 ZF	4	stable_gene_mapping	yes
Q6PCT2	CODEBOOK	ENSG00000099364	PWM000531	exact_construct	FBXL19	ENSG00000099364	CxxC	1	assayed_construct_in_query	yes
Q6PK81	CODEBOOK	ENSG00000152439	PWM005737	exact_construct	ZNF773	ENSG00000152439	C2H2 ZF	9	assayed_construct_in_query	yes
Q6R2W3	CODEBOOK	ENSG00000232040	PWM002692	exact_construct	ZBED9	ENSG00000232040	BED ZF	1	assayed_construct_in_query	yes
Q6ZN06	CODEBOOK	ENSG00000198346	PWM187076	exact_construct	ZNF813	ENSG00000198346	C2H2 ZF	14	assayed_construct_in_query	yes
Q6ZN08	CODEBOOK	ENSG00000160229	PWM005018	exact_construct	ZNF66	ENSG00000160229	C2H2 ZF	14	assayed_construct_in_query	yes
Q6ZN19	CODEBOOK	ENSG00000197608	PWM006037	exact_construct	ZNF841	ENSG00000197608	C2H2 ZF	21	query_in_assayed_construct	yes
Q6ZNA1	CODEBOOK	ENSG00000196267	PWM005990	exact_construct	ZNF836	ENSG00000196267	C2H2 ZF	24	assayed_construct_in_query	yes
Q6ZNH5	CODEBOOK	ENSG00000174586	PWM004437	exact_construct	ZNF497	ENSG00000174586	C2H2 ZF	14	assayed_construct_in_query	yes
Q6ZQV5	CODEBOOK	ENSG00000214189	PWM185323	stable_gene_id	ZNF788P	ENSG00000214189	C2H2 ZF	8	stable_gene_mapping	yes
Q6ZR52	CODEBOOK	ENSG00000196268	PWM004421	exact_construct	ZNF493	ENSG00000196268	C2H2 ZF	19	query_in_assayed_construct	yes
Q6ZTZ1	CODEBOOK	ENSG00000188981	PWM001197	stable_gene_id	MSANTD1	ENSG00000188981	MADF	1	stable_gene_mapping	yes
Q7RTU4	CODEBOOK	ENSG00000205899	PWM000094	exact_construct	BHLHA9	ENSG00000205899	bHLH	1	assayed_construct_in_query	yes
Q7RTV3	CODEBOOK	ENSG00000165244	PWM004066	exact_construct	ZNF367	ENSG00000165244	C2H2 ZF	2	assayed_construct_in_query	yes
Q7Z340	CODEBOOK	ENSG00000204519	PWM004631	exact_construct	ZNF551	ENSG00000204519	C2H2 ZF	15	assayed_construct_in_query	yes
Q7Z7L9	CODEBOOK	ENSG00000176371	PWM006266	exact_construct	ZSCAN2	ENSG00000176371	C2H2 ZF	14	assayed_construct_in_query	yes
Q86UP8	CODEBOOK	ENSG00000196275	PWM000795	exact_construct	GTF2IRD2	ENSG00000196275	GTF2I	2	assayed_construct_in_query	yes
Q86V15	CODEBOOK	ENSG00000130940	PWM000182	exact_construct	CASZ1	ENSG00000130940	C2H2 ZF	5	assayed_construct_in_query	yes
Q86VE0	CODEBOOK	ENSG00000176182	PWM001308	exact_construct	MYPOP	ENSG00000176182	Myb/SANT	1	assayed_construct_in_query	yes
Q86WM2	CODEBOOK	ENSG00000263002	PWM003628	exact_construct	ZNF234	ENSG00000263002	C2H2 ZF	18	query_in_assayed_construct	no
Q86XA2	CODEBOOK	ENSG00000132010	PWM003431	exact_construct	ZNF20	ENSG00000132010	C2H2 ZF	12	query_in_assayed_construct	no
Q86XF7	CODEBOOK	ENSG00000176472	PWM004745	exact_construct	ZNF575	ENSG00000176472	C2H2 ZF	6	query_in_assayed_construct	yes
Q86YP4	CODEBOOK	ENSG00000167491	PWM000707	stable_gene_id	GATAD2A	ENSG00000167491	GATA	1	stable_gene_mapping	yes
Q8IX07	CODEBOOK	ENSG00000179588	PWM114579	exact_construct	ZFPM1	ENSG00000179588	C2H2 ZF	3	assayed_construct_in_query	yes
Q8IY51	CODEBOOK	ENSG00000169989	PWM089799	exact_construct	TIGD4	ENSG00000169989	CENPB	1	assayed_construct_in_query	yes
Q8IYA7	CODEBOOK	ENSG00000150051	PWM001152	exact_construct	MKX	ENSG00000150051	Homeodomain	1	assayed_construct_in_query	yes
Q8IZ20	CODEBOOK	ENSG00000176083	PWM005224	exact_construct	ZNF683	ENSG00000176083	C2H2 ZF	4	assayed_construct_in_query	yes
Q8N1L9	CODEBOOK	ENSG00000168062	PWM000075	exact_construct	BATF2	ENSG00000168062	bZIP	1	assayed_construct_in_query	yes
Q8N7Q3	CODEBOOK	ENSG00000196109	PWM005154	exact_construct	ZNF676	ENSG00000196109	C2H2 ZF	14	assayed_construct_in_query	yes
Q8N7U7	CODEBOOK	ENSG00000178928	PWM002375	exact_construct	TPRX1	ENSG00000178928	Homeodomain	1	query_in_assayed_construct	yes
Q8N972	CODEBOOK	ENSG00000242852	PWM005462	exact_construct	ZNF709	ENSG00000242852	C2H2 ZF	19	assayed_construct_in_query	yes
Q8NAP8	CODEBOOK	ENSG00000273274	PWM002864	exact_construct	ZBTB8B	ENSG00000273274	C2H2 ZF	2	assayed_construct_in_query	yes
Q8NCY6	CODEBOOK	ENSG00000170903	PWM001209	exact_construct	MSANTD4	ENSG00000170903	Myb/SANT	1	assayed_construct_in_query	yes
Q8TCN5	CODEBOOK	ENSG00000168813	PWM150320	exact_construct	ZNF507	ENSG00000168813	C2H2 ZF	5	assayed_construct_in_query	yes
Q8TE85	CODEBOOK	ENSG00000158055	PWM034802	exact_construct	GRHL3	ENSG00000158055	Grainyhead	1	assayed_construct_in_query	yes
Q8TF20	CODEBOOK	ENSG00000182903	PWM005513	exact_construct	ZNF721	ENSG00000182903	C2H2 ZF	24	query_in_assayed_construct	yes
Q8TF50	CODEBOOK	ENSG00000167625	PWM153677	exact_construct	ZNF526	ENSG00000167625	C2H2 ZF	10	assayed_construct_in_query	yes
Q8WXB4	CODEBOOK	ENSG00000166704	PWM004854	exact_construct	ZNF606	ENSG00000166704	C2H2 ZF	14	assayed_construct_in_query	yes
Q8WYP5	CODEBOOK	ENSG00000153207	PWM006770	exact_construct	AHCTF1	ENSG00000153207	AT hook	1	assayed_construct_in_query	yes
Q92618	CODEBOOK	ENSG00000101493	PWM151871	exact_construct	ZNF516	ENSG00000101493	C2H2 ZF	7	assayed_construct_in_query	yes
Q969J2	CODEBOOK	ENSG00000187626	PWM003117	exact_construct	ZKSCAN4	ENSG00000187626	C2H2 ZF	7	assayed_construct_in_query	yes
Q96BD5	CODEBOOK	ENSG00000135365	PWM058789	exact_construct	PHF21A	ENSG00000135365	AT hook	1	assayed_construct_in_query	yes
Q96BF6	CODEBOOK	ENSG00000148411	PWM001391	exact_construct	NACC2	ENSG00000148411	Unknown	1	assayed_construct_in_query	yes
Q96BR9	CODEBOOK	ENSG00000160062	PWM002856	exact_construct	ZBTB8A	ENSG00000160062	C2H2 ZF	2	assayed_construct_in_query	yes
Q96BV0	CODEBOOK	ENSG00000196456	PWM005778	exact_construct	ZNF775	ENSG00000196456	C2H2 ZF	11	assayed_construct_in_query	yes
Q96CS4	CODEBOOK	ENSG00000156853	PWM005261	exact_construct	ZNF689	ENSG00000156853	C2H2 ZF	12	assayed_construct_in_query	yes
Q96F45	CODEBOOK	ENSG00000165655	PWM004483	exact_construct	ZNF503	ENSG00000165655	C2H2 ZF	1	assayed_construct_in_query	yes
Q96IR2	CODEBOOK	ENSG00000213799	PWM193356	exact_construct	ZNF845	ENSG00000213799	C2H2 ZF	26	assayed_construct_in_query	yes
Q96JP5	CODEBOOK	ENSG00000186660	PWM002987	exact_construct	ZFP91	ENSG00000186660	C2H2 ZF	5	assayed_construct_in_query	yes
Q96K58	CODEBOOK	ENSG00000167394	PWM005084	exact_construct	ZNF668	ENSG00000167394	C2H2 ZF	16	query_in_assayed_construct	yes
